"filename", "language", "Python", "Django Template", "pip requirements", "comment", "blank", "total"
"/Users/vikaslohar/Desktop/formstack-backend/users/views.py", "Python", 20, 0, 0, 1, 4, 25
"/Users/vikaslohar/Desktop/formstack-backend/workspace/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/vikaslohar/Desktop/formstack-backend/workspace/admin.py", "Python", 3, 0, 0, 0, 2, 5
"/Users/vikaslohar/Desktop/formstack-backend/workspace/apps.py", "Python", 4, 0, 0, 0, 3, 7
"/Users/vikaslohar/Desktop/formstack-backend/workspace/migrations/0001_initial.py", "Python", 20, 0, 0, 1, 7, 28
"/Users/vikaslohar/Desktop/formstack-backend/workspace/migrations/0002_workspace_description.py", "Python", 12, 0, 0, 1, 6, 19
"/Users/vikaslohar/Desktop/formstack-backend/workspace/migrations/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/vikaslohar/Desktop/formstack-backend/workspace/models.py", "Python", 15, 0, 0, 0, 6, 21
"/Users/vikaslohar/Desktop/formstack-backend/workspace/tests.py", "Python", 1, 0, 0, 1, 2, 4
"/Users/vikaslohar/Desktop/formstack-backend/workspace/views.py", "Python", 1, 0, 0, 1, 2, 4
"Total", "-", 939, 31, 18, 82, 339, 1409
